circuitstring,Parameters
"P1-[P2,P3]-R4","{'P1w': 5.2884052207791107e-05, 'P1n': 0.8001276208567482, 'P2w': 1.8248110883525536e-06, 'P2n': 0.9696467250870887, 'P3w': 3.922752552974003e-07, 'P3n': 0.12942820354226325, 'R4': 140.45131637358068}"
"[P1-R2-[L3,R4],P5]-[[[R6,P7],R8],R9]-R10","{'P1w': 2.1254296128397496e-06, 'P1n': 0.39000673404315617, 'R2': 2682286.666564631, 'L3': 4.25915268210708, 'R4': 828079552.3505166, 'P5w': 1.8114409751641031e-06, 'P5n': 0.9562852661452335, 'R6': 912734662.8352242, 'P7w': 0.027557156597143653, 'P7n': 0.056904756246958996, 'R8': 892563902.9999864, 'R9': 718679420.5553324, 'R10': 121.25033033981501}"
"[R1-P2,[L3,[R4,P5]]-[R6,R7-R8-P9-[C10,P11]]]","{'R1': 696286945.9315321, 'P2w': 108974010.1416623, 'P2n': 0.09063085211148757, 'L3': 2.849842839282088, 'R4': 502580687.7247664, 'P5w': 50.36484006697891, 'P5n': 0.9949130856411349, 'R6': 3328822.6684436686, 'R7': 630607533.4505272, 'R8': 340751532.1586181, 'P9w': 462657437.01730365, 'P9n': 0.09687512767124305, 'C10': 0.005875330345540112, 'P11w': 934371647.8792367, 'P11n': 0.4756306827198821}"
"[P1,R2-P3]-C4-R5","{'P1w': 1.817494606856506e-06, 'P1n': 0.9550230070078765, 'R2': 2700357.855233168, 'P3w': 2.1234685278069157e-06, 'P3n': 0.38495116809376817, 'C4': 0.0018981920912196008, 'R5': 141.25556036194217}"
"[P1-[R2,[[[P3,L4],R5]-R6,[[R7,L8],P9-R10]]],P11]","{'P1w': 2.2590710173477226e-07, 'P1n': 0.04256622624692654, 'R2': 1499999995.8037102, 'P3w': 863734234.3070558, 'P3n': 0.6604925742343751, 'L4': 4.950451350191251, 'R5': 470842603.44247824, 'R6': 999999999.8233095, 'R7': 999999815.7442598, 'L8': 4.999999999319835, 'P9w': 863458469.4370207, 'P9n': 0.31315981142297133, 'R10': 999999977.7968961, 'P11w': 2.247010812973696e-06, 'P11n': 0.8747737547059868}"
"P1-[P2,P3]-L4-P5","{'P1w': 0.007119779624919871, 'P1n': 1.0603466112329747e-11, 'P2w': 1.824822078362891e-06, 'P2n': 0.9696432474418554, 'P3w': 3.9226670067375436e-07, 'P3n': 0.12942197342351033, 'L4': 2.2407253410611765e-11, 'P5w': 5.289515862038621e-05, 'P5n': 0.8001176027373493}"
"[[R1-[L2-C3,P4-L5],[R6-L7,L8]-[R9-C10,P11-R12]],P13-R14-[C15,L16-R17]]","{'R1': 5993363.72693955, 'L2': 0.7413379803893574, 'C3': 0.009999456703102871, 'P4w': 287053079.74695766, 'P4n': 0.48546796365434175, 'L5': 3.4056955253280807, 'R6': 259759828.78687176, 'L7': 4.571914007244826, 'L8': 1.4438119074305858e-11, 'R9': 146.75483449788723, 'C10': 1.5513334281039155e-06, 'P11w': 581474355.4127553, 'P11n': 0.11714451418683927, 'R12': 894779594.8186448, 'P13w': 978730554.0248281, 'P13n': 0.20177750819964685, 'R14': 5180832.101732381, 'C15': 3.933647468365928e-06, 'L16': 0.5041468952349072, 'R17': 892401788.9963678}"
"C1-[L2,C3]-[P4-P5,R6-P7]","{'C1': 6.438679050731413e-05, 'L2': 4.856224804513734, 'C3': 0.004837967276034282, 'P4w': 1.9785066024874435e-06, 'P4n': 0.942879350743796, 'P5w': 0.007145457671116271, 'P5n': 2.7141535196063414e-08, 'R6': 4088481.8681700057, 'P7w': 693656901.7509251, 'P7n': 0.19137916504023889}"
"[P1-R2,P3-R4]","{'P1w': 2.2752970669153226e-06, 'P1n': 0.4002318114190585, 'R2': 2754010.654569596, 'P3w': 1.8171284371181959e-06, 'P3n': 0.9549148902119575, 'R4': 141.24734629424063}"
"R1-[P2,P3-L4-R5]","{'R1': 141.2402339678145, 'P2w': 1.817298915259384e-06, 'P2n': 0.9549161504791693, 'P3w': 2.2755047814957806e-06, 'P3n': 0.4002444801059457, 'L4': 4.999999987095746, 'R5': 2753990.7476816443}"
"[L1-P2,P3]-P4-[R5,[L6,R7]]","{'L1': 0.03598875507033051, 'P2w': 0.002594346088982614, 'P2n': 1.5249999999932737, 'P3w': 0.006993716741290429, 'P3n': 0.00307527707963189, 'P4w': 2.8078630019589393e-06, 'P4n': 0.8486886725025689, 'R5': 971653449.2170764, 'L6': 2.5257886763045374e-05, 'R7': 976893962.5410045}"
"[P1-R2,[[R3,R4],P5]-P6]-[L7,P8-R9]","{'P1w': 2.3570082426715e-06, 'P1n': 0.4072115894541379, 'R2': 2778201.026422383, 'R3': 1011559694.4810101, 'R4': 877311440.287959, 'P5w': 0.006938840067097362, 'P5n': 0.0021114175602116305, 'P6w': 1.8157054972515071e-06, 'P6n': 0.955205442025187, 'L7': 1.305793997405316e-09, 'P8w': 390546760.35066265, 'P8n': 0.8186669922515517, 'R9': 985254359.080667}"
"R1-[P2-L3,P4]","{'R1': 3255624.2009832948, 'P2w': 999999999.9996995, 'P2n': 1.532979039966224e-13, 'L3': 4.577444854007526, 'P4w': 16.899680769223988, 'P4n': 1.0}"
"[P1,R2]-[P3,R4]-R5","{'P1w': 2.2077877340732252e-05, 'P1n': 0.9236660659658841, 'R2': 4456958.056719343, 'P3w': 2.045280186242413e-06, 'P3n': 0.9520750209892647, 'R4': 3130914.043560917, 'R5': 140.5658797299194}"
"[R1-P2,P3-R4]","{'R1': 141.24734630568906, 'P2w': 1.8171284372815892e-06, 'P2n': 0.9549148902535738, 'P3w': 2.275297080531652e-06, 'P3n': 0.4002318126442971, 'R4': 2754010.6618835707}"
"[R1,[[P2,P3],R4]-R5-P6-C7]","{'R1': 9736055.661766177, 'P2w': 2.059656967780532e-06, 'P2n': 0.9697298471257786, 'P3w': 3.1452642695256246e-07, 'P3n': 0.14212717559236157, 'R4': 347112510.24448997, 'R5': 141.4316946832448, 'P6w': 1.3663073141159654e-05, 'P6n': 0.8940180460563579, 'C7': 0.009999989609719729}"
"P1-[L2-P3,[P4,R5]]-R6-R7","{'P1w': 711616345.3413404, 'P1n': 0.9986869524791712, 'L2': 3.888935869508398, 'P3w': 866257698.9629997, 'P3n': 0.9999999999998477, 'P4w': 11.147753468486105, 'P4n': 0.9999999999999999, 'R5': 999999999.9999999, 'R6': 1458968.950563604, 'R7': 1765120.8006630328}"
"L1-[P2,[P3,R4]]-P5-[R6,C7]-L8-R9","{'L1': 4.525332017479469e-11, 'P2w': 2.9174814097497692e-06, 'P2n': 0.9611276076221799, 'P3w': 1.099316916069046e-06, 'P3n': 0.2931384207429866, 'R4': 268739004.5490192, 'P5w': 0.00010014070631151827, 'P5n': 0.7298882034380151, 'R6': 1668807.017926792, 'C7': 4.173301525430161e-06, 'L8': 2.7793391043247456e-14, 'R9': 139.9961243699679}"
"R1-[R2-[P3,R4],P5]-[P6,R7]","{'R1': 140.7950136263357, 'R2': 3310178.2026941585, 'P3w': 6.0157421810865195e-05, 'P3n': 0.9165078922075611, 'R4': 302310723.92712027, 'P5w': 1.4768698149929219e-05, 'P5n': 0.9653441294149436, 'P6w': 2.105891582016131e-06, 'P6n': 0.950596128441703, 'R7': 2726168.2408882463}"
